id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,roi.times,roi.currency,roi.percentage,fetched_at
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,109457.0,2176518444626,1,2176518444626,32651103716,110237.0,108633.0,1.67,0.00153,2277624328.0,0.10475,19877325.0,19877325.0,21000000.0,111814.0,-2.04515,2025-05-22T18:41:28.492Z,67.81,161423.39766,2013-07-06T00:00:00.000Z,,2025-06-11T09:35:39.777Z,,,,2025-06-11 11:35:41.060674
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2770.67,334431259478,2,334431259478,34117714543,2821.7,2687.14,80.45,2.99029,10441564753.0,3.22281,120722181.5589522,120722181.5589522,,4878.26,-43.25342,2021-11-10T14:24:19.604Z,0.432979,639249.04213,2015-10-20T00:00:00.000Z,,2025-06-11T09:35:39.151Z,32.85940105190315,btc,3285.9401051903146,2025-06-11 11:35:41.060674
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,0.999968,155177578967,3,155177578967,40802276908,1.0,0.999933,-0.0003209181670011,-0.03208,-49010018.914245605,-0.03157,155181610791.2075,155181610791.2075,,1.32,-24.42092,2018-07-24T00:00:00.000Z,0.572521,74.66317,2015-03-02T00:00:00.000Z,,2025-06-11T09:35:35.933Z,,,,2025-06-11 11:35:41.060674
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,672.2,98065811485,5,98065811485,942829688,673.62,659.36,12.17,1.84405,1898498930.0,1.97416,145887575.79,145887575.79,200000000.0,788.84,-14.87073,2024-12-04T10:35:25.220Z,0.0398177,1686428.58481,2017-10-19T00:00:00.000Z,,2025-06-11T09:35:39.060Z,,,,2025-06-11 11:35:41.060674
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,166.14,87370792449,6,100281852338,5091056795,167.13,157.02,7.68,4.84714,4301900546.0,5.17871,525236180.4503501,602852001.3839638,,293.31,-43.15309,2025-01-19T11:15:27.957Z,0.500801,33194.40772,2020-05-11T19:35:23.449Z,,2025-06-11T09:35:38.460Z,,,,2025-06-11 11:35:41.060674
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.999768,60940431277,7,60980833181,11817537507,0.999831,0.999703,-2.4175856778275e-05,-0.00242,-20118741.161506653,-0.033,60953446156.31074,60993856688.51815,,1.17,-14.74411,2019-05-08T00:40:28.300Z,0.877647,13.91841,2023-03-11T08:02:13.981Z,,2025-06-11T09:35:34.119Z,,,,2025-06-11 11:35:41.060674
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.201115,30121454267,8,30121454267,1692627898,0.203743,0.190222,0.00955172,4.9862,1518454768.0,5.30873,149638396383.7052,149638396383.7053,,0.731578,-72.44293,2021-05-08T05:08:23.458Z,8.69e-05,231882.52411,2015-05-06T00:00:00.000Z,,2025-06-11T09:35:38.333Z,,,,2025-06-11 11:35:41.060674
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.718715,25940364910,10,32340030872,805871440,0.726712,0.688404,0.02388287,3.43722,920062546.0,3.67726,36095092968.40453,45000000000.0,45000000000.0,3.09,-76.67295,2021-09-02T06:00:10.474Z,0.01925275,3640.16852,2020-03-13T02:22:55.044Z,,2025-06-11T09:35:39.305Z,,,,2025-06-11 11:35:41.060674
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,109268.0,2172213269177,1,2172213269177,32573692638,110237.0,108633.0,-110.54727825960435,-0.10107,-2167968753.2021484,-0.09971,19877325.0,19877325.0,21000000.0,111814.0,-2.15746,2025-05-22T18:41:28.492Z,67.81,161238.2014,2013-07-06T00:00:00.000Z,,2025-06-11T09:52:18.071Z,,,,2025-06-11 11:52:20
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2765.2,334104285806,2,334104285806,34782833103,2821.7,2687.14,77.4,2.87986,9524219623.0,2.93432,120722181.5589522,120722181.5589522,,4878.26,-43.23672,2021-11-10T14:24:19.604Z,0.432979,639437.15315,2015-10-20T00:00:00.000Z,,2025-06-11T09:52:17.940Z,32.83075383539011,btc,3283.075383539011,2025-06-11 11:52:20
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,0.999981,155178659381,3,155178659381,26868212545,1.0,0.999933,-0.0002249631200805,-0.02249,-35491388.114746094,-0.02287,155181610791.2075,155181610791.2075,,1.32,-24.42177,2018-07-24T00:00:00.000Z,0.572521,74.66119,2015-03-02T00:00:00.000Z,,2025-06-11T09:52:14.742Z,,,,2025-06-11 11:52:20
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,671.23,97933973089,5,97933973089,948083301,673.62,659.36,10.96,1.65947,1675895615.0,1.74104,145887575.79,145887575.79,200000000.0,788.84,-14.84355,2024-12-04T10:35:25.220Z,0.0398177,1686966.91056,2017-10-19T00:00:00.000Z,,2025-06-11T09:52:17.743Z,,,,2025-06-11 11:52:20
